group,Lead_h,model,n,Rup_q95,Rdown_q95,MAE,RMSE,TOPSIS_C,w_MAE,w_RMSE,w_Rup_q95,w_Rdown_q95
non_ramp,3,Fcst_FUSE_RAMP_ENHANCED,599,0.1961411557310188,0.16551667067808604,0.07348669522961022,0.10871361213742253,0.7223085539758353,0.27399527700203385,0.26686814278107496,0.3065036074822702,0.152632972734621
non_ramp,3,Fcst_KF,599,0.16890605757530228,0.14977239051211724,0.06734531384944153,0.09826137650313696,0.8222576398545784,0.27399527700203385,0.26686814278107496,0.3065036074822702,0.152632972734621
non_ramp,3,Fcst_LSTM,599,0.21030862286277274,0.17779680484053167,0.07876372986219965,0.1149845739061711,0.6380757662519246,0.27399527700203385,0.26686814278107496,0.3065036074822702,0.152632972734621
non_ramp,3,Fcst_RAW,599,0.34362931974855043,0.09009574451755019,0.10295202709238599,0.15197551127501038,0.2420365469712096,0.27399527700203385,0.26686814278107496,0.3065036074822702,0.152632972734621
non_ramp,6,Fcst_FUSE_RAMP_ENHANCED,599,0.19144308938373156,0.16813103216293937,0.07775614913470513,0.1148568971279467,0.7568007094534512,0.24941213496130396,0.2421689117955715,0.3373505726452812,0.1710683805978435
non_ramp,6,Fcst_KF,599,0.1759818833410001,0.15423621300382065,0.06999616386848757,0.10410618691463598,0.852743998355846,0.24941213496130396,0.2421689117955715,0.3373505726452812,0.1710683805978435
non_ramp,6,Fcst_LSTM,599,0.20837335318759334,0.19887100241884997,0.08538613788050133,0.1243906119619271,0.6019267547502022,0.24941213496130396,0.2421689117955715,0.3373505726452812,0.1710683805978435
non_ramp,6,Fcst_RAW,599,0.3151912528758386,0.11248364707770914,0.10857500110996525,0.15367939762243882,0.2666141102490564,0.24941213496130396,0.2421689117955715,0.3373505726452812,0.1710683805978435
non_ramp,9,Fcst_FUSE_RAMP_ENHANCED,599,0.2050453016583695,0.177537213120319,0.07670204571547093,0.11265093121540265,0.7722615614586578,0.24509992984013554,0.26275783388339413,0.3470118898655274,0.1451303464109429
non_ramp,9,Fcst_KF,599,0.20141416880688226,0.15172123217052289,0.07050048628580295,0.10497043952714825,0.8724680789888987,0.24509992984013554,0.26275783388339413,0.3470118898655274,0.1451303464109429
non_ramp,9,Fcst_LSTM,599,0.23520746013126628,0.18720970074682872,0.0820979103030785,0.11850348940474444,0.6425574975670598,0.24509992984013554,0.26275783388339413,0.3470118898655274,0.1451303464109429
non_ramp,9,Fcst_RAW,599,0.32610831996167783,0.11412897079111956,0.10746734866451585,0.1553956023340034,0.22294605002757859,0.24509992984013554,0.26275783388339413,0.3470118898655274,0.1451303464109429
non_ramp,12,Fcst_FUSE_RAMP_ENHANCED,599,0.22133649463052893,0.17185148937366385,0.08059130284672149,0.11547439315752492,0.7549561601582043,0.23917382768743814,0.28001899455093043,0.27660363738960353,0.20420354037202784
non_ramp,12,Fcst_KF,599,0.19203725515991396,0.14995849836665323,0.07245650698885706,0.10828899862981503,0.9386342117625165,0.23917382768743814,0.28001899455093043,0.27660363738960353,0.20420354037202784
non_ramp,12,Fcst_LSTM,599,0.23346772962106715,0.18262424274753736,0.0884929470697338,0.1260161204332624,0.6232256521680892,0.23917382768743814,0.28001899455093043,0.27660363738960353,0.20420354037202784
non_ramp,12,Fcst_RAW,599,0.3445922118697861,0.13816825188482784,0.11092799660200005,0.15884797459218306,0.2004208098369901,0.23917382768743814,0.28001899455093043,0.27660363738960353,0.20420354037202784
non_ramp,15,Fcst_FUSE_RAMP_ENHANCED,599,0.20717382284794336,0.20043737139268505,0.08063959563162452,0.11880474910059723,0.7278230371747008,0.2421942666434463,0.2627864976835172,0.319638863207128,0.1753803724659086
non_ramp,15,Fcst_KF,599,0.18935075740065394,0.1610699882754623,0.0737921083279736,0.1105687019260293,0.8825927898902053,0.2421942666434463,0.2627864976835172,0.319638863207128,0.1753803724659086
non_ramp,15,Fcst_LSTM,599,0.22757377504988072,0.21665642359000745,0.08676238769243279,0.12667628414557855,0.6146060413316939,0.2421942666434463,0.2627864976835172,0.319638863207128,0.1753803724659086
non_ramp,15,Fcst_RAW,599,0.3486324052088214,0.12700750482949297,0.10800687209184186,0.1589369608206957,0.26398171158614714,0.2421942666434463,0.2627864976835172,0.319638863207128,0.1753803724659086
non_ramp,18,Fcst_FUSE_RAMP_ENHANCED,599,0.2139456287768341,0.19923296634161491,0.08724436447245872,0.12491019967041829,0.6752955602724755,0.21549625405761216,0.23086201329961656,0.3010353241812368,0.2526064084615344
non_ramp,18,Fcst_KF,599,0.18680542106156928,0.16759435775783846,0.07544435398183008,0.11052297942059665,0.9291224581412311,0.21549625405761216,0.23086201329961656,0.3010353241812368,0.2526064084615344
non_ramp,18,Fcst_LSTM,599,0.22638965813093453,0.21929506115101238,0.0952411968387991,0.13390984402696388,0.5351287638111232,0.21549625405761216,0.23086201329961656,0.3010353241812368,0.2526064084615344
non_ramp,18,Fcst_RAW,599,0.3249609948487501,0.15524308570972473,0.11084011550738457,0.15912369825949463,0.29451006469170865,0.21549625405761216,0.23086201329961656,0.3010353241812368,0.2526064084615344
ramp,3,Fcst_FUSE_RAMP_ENHANCED,136,0.3600868557841954,0.2815902533196085,0.13899219758189188,0.19686572559988041,0.5851324202933234,0.28407417299952475,0.3249363294474358,0.23783011123584483,0.15315938631719475
ramp,3,Fcst_KF,136,0.4203869709959081,0.2534401590171619,0.15155776227620588,0.2127815925895116,0.35398905212157844,0.28407417299952475,0.3249363294474358,0.23783011123584483,0.15315938631719475
ramp,3,Fcst_LSTM,136,0.34523205944027735,0.2637631899642747,0.1419184081560432,0.1978688781670171,0.6435712203752452,0.28407417299952475,0.3249363294474358,0.23783011123584483,0.15315938631719475
ramp,3,Fcst_RAW,136,0.431665308314253,0.19056479222013062,0.1661750744505428,0.22420421316155306,0.39634257846755866,0.28407417299952475,0.3249363294474358,0.23783011123584483,0.15315938631719475
ramp,6,Fcst_FUSE_RAMP_ENHANCED,136,0.34048079631486183,0.29508403441055386,0.14570505100479075,0.1991407561356829,0.6008365485819326,0.23940000876253312,0.21317256404889165,0.359938557988053,0.1874888692005222
ramp,6,Fcst_KF,136,0.417330400323951,0.32935763842172494,0.152363310742629,0.2176847421186394,0.15097087000679915,0.23940000876253312,0.21317256404889165,0.359938557988053,0.1874888692005222
ramp,6,Fcst_LSTM,136,0.34560935860523945,0.3075125226449599,0.1556442259559217,0.20945301555090814,0.5169574913934308,0.23940000876253312,0.21317256404889165,0.359938557988053,0.1874888692005222
ramp,6,Fcst_RAW,136,0.4120515011020546,0.20843793446450348,0.1645217318202567,0.22238371713311544,0.5044004263824013,0.23940000876253312,0.21317256404889165,0.359938557988053,0.1874888692005222
ramp,9,Fcst_FUSE_RAMP_ENHANCED,136,0.3262717649310246,0.25751689897208263,0.13836500648525601,0.19132398608297332,0.7513881580384509,0.25044986824664356,0.26252385316546545,0.23554436028839898,0.251481918299492
ramp,9,Fcst_KF,136,0.38627094068856765,0.27310137780397115,0.1534508565030751,0.20931777206490332,0.21771673088154703,0.25044986824664356,0.26252385316546545,0.23554436028839898,0.251481918299492
ramp,9,Fcst_LSTM,136,0.29904685927769953,0.29385710312152685,0.14290273067847656,0.1952022170147592,0.5840270456203984,0.25044986824664356,0.26252385316546545,0.23554436028839898,0.251481918299492
ramp,9,Fcst_RAW,136,0.3854723630914749,0.2449699434243313,0.15683467952858413,0.2071935691968804,0.399746109223781,0.25044986824664356,0.26252385316546545,0.23554436028839898,0.251481918299492
ramp,12,Fcst_FUSE_RAMP_ENHANCED,136,0.33606875041325546,0.3434024533266626,0.1582902621713343,0.21590293920610726,0.8936167435688597,0.23696943436416923,0.23784116801779,0.24911589179700727,0.2760735058210335
ramp,12,Fcst_KF,136,0.4393064351533813,0.3355206280814484,0.1795132579069104,0.23639549474016444,0.118570379084942,0.23696943436416923,0.23784116801779,0.24911589179700727,0.2760735058210335
ramp,12,Fcst_LSTM,136,0.325914945593135,0.3494160619944006,0.1606219890800729,0.218166433717369,0.8725451590005772,0.23696943436416923,0.23784116801779,0.24911589179700727,0.2760735058210335
ramp,12,Fcst_RAW,136,0.3949350676512253,0.33623951348559367,0.17193203854985112,0.22849142694338606,0.398912767988527,0.23696943436416923,0.23784116801779,0.24911589179700727,0.2760735058210335
ramp,15,Fcst_FUSE_RAMP_ENHANCED,136,0.3167701570006848,0.34286274425716456,0.14309715953945643,0.20511906837925944,0.8023456493969565,0.22821397841013308,0.2611343941037471,0.35468787693448134,0.15596375055163844
ramp,15,Fcst_KF,136,0.4212113040219559,0.34664257571861473,0.17157384786428975,0.23318088123506636,0.0,0.22821397841013308,0.2611343941037471,0.35468787693448134,0.15596375055163844
ramp,15,Fcst_LSTM,136,0.31832479314962947,0.344892942485417,0.14978864219165963,0.2093332045482899,0.7766688818364114,0.22821397841013308,0.2611343941037471,0.35468787693448134,0.15596375055163844
ramp,15,Fcst_RAW,136,0.40744457471085277,0.283620771799318,0.16666450316866174,0.22954310777604445,0.2553803608023528,0.22821397841013308,0.2611343941037471,0.35468787693448134,0.15596375055163844
ramp,18,Fcst_FUSE_RAMP_ENHANCED,136,0.28092262621713787,0.37218760162156134,0.14735388990949977,0.2070943450092658,0.9072115827266902,0.27494740641194615,0.29690915090546327,0.29245583962873006,0.1356876030538606
ramp,18,Fcst_KF,136,0.42695844797141985,0.394542513219619,0.1730206055192236,0.23811969243020006,0.0,0.27494740641194615,0.29690915090546327,0.29245583962873006,0.1356876030538606
ramp,18,Fcst_LSTM,136,0.28365726361970656,0.39398199510590465,0.1483071319778737,0.20748893517575148,0.8586259615451496,0.27494740641194615,0.29690915090546327,0.29245583962873006,0.1356876030538606
ramp,18,Fcst_RAW,136,0.3744289069377821,0.33336376264384127,0.1643646304243996,0.22794163587524932,0.376334959371373,0.27494740641194615,0.29690915090546327,0.29245583962873006,0.1356876030538606
